reports,ear-left,ear-right,nose-left,nose-right,throat,vc-closed,vc-open,Pneumonia,Atelectasis,Pneumothorax,Pleural Effusion,Pleural Other,Fracture,Support Devices
"cerumen in the external auditory canal  the tympanic membrane is intact but slightly thickened, the cone of light is not visualized",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"cerumen in the external auditory canal  the tympanic membrane is intact but slightly thickened, the cone of light is visualized",1,0,0,0,0,0,0,0,0,0,0,0,0,0
edema of the arytenoid cartilages  posterior commissure hypertrophy  the vocal cords are erythematous,0,0,0,0,0,0,1,0,0,0,0,0,0,0
yellow white ear discharge with superimposed fungal infection in the external auditory canal  the tympanic membrane is not visualized,1,0,0,0,0,0,0,0,0,0,0,0,0,0
yellow ear discharge with superimposed fungal infection in the external auditory canal and covers the anterior quadrants of the tympanic membrane  the posterior part of the tympanic membrane is thickened,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cerumen and yellow ear discharge with superimposed fungal infection in the external auditory canal  the tympanic membrane is not visualized,0,1,0,0,0,0,0,0,0,0,0,0,0,0
edema of the arytenoid cartilages and interarytenoid area  ventricular obliteration  subglottic edema,0,0,0,0,0,0,1,0,0,0,0,0,0,0
edema of the epiglottis,0,0,0,0,1,0,0,0,0,0,0,0,0,0
edema of the epi  edema of the arytenoid cartilages,0,0,0,0,0,1,0,0,0,0,0,0,0,0
edema of the uvula,0,0,0,0,1,0,0,0,0,0,0,0,0,0
the epiglottis is edematous  white mucus in the hypopharynx  edema of the arytenoid cartilages,0,0,0,0,0,1,0,0,0,0,0,0,0,0
edema and erythema of the arytenoid cartilages  the vocal cords are erythematous,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cerumen in the external auditory canal  the tympanic membrane is intact but thickened in the posterior quadrants  the cone of light is not well visualized,1,0,0,0,0,0,0,0,0,0,0,0,0,0
superior septal deviation  the nasal mucosa is erythematous  white mucus in the nasal cavity,0,0,0,1,0,0,0,0,0,0,0,0,0,0
edema of the nasopharynx  white mucus from the meatus moving toward the nasopharynx,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"the external auditory canal is slightly erythematous  cerumen with superimposed fungal infection in the external auditory canal  the tympanic membrane is intact but slightly thickened, the cone of light is not visualized",0,1,0,0,0,0,0,0,0,0,0,0,0,0
edema of the arytenoid cartilages  posterior commissure hypertrophy   the vocal cords are edematous and erythematous  ventricular obliteration,0,0,0,0,0,0,1,0,0,0,0,0,0,0
edema of the arytenoid cartilages  posterior commissure hypertrophy  the vocal cords are edematous and erythematous,0,0,0,0,0,0,1,0,0,0,0,0,0,0
edema of the arytenoid cartilages  edema and erythema of the vocal cords  incomplete glottic closure,0,0,0,0,0,1,0,0,0,0,0,0,0,0
edema and erythema of the arytenoid cartilages  the vocal cords are edematous  posterior commissure hypertrophy,0,0,0,0,0,0,1,0,0,0,0,0,0,0
cerumen with superimposed fungal infection in the external auditory canal and covers the posterior quadrants of the tympanic membrane  the cone of light is not visualized,0,1,0,0,0,0,0,0,0,0,0,0,0,0
vocal cord edema (T)>(P),0,0,0,0,0,0,1,0,0,0,0,0,0,0
"vocal cord edema,incomplete glottic closure",0,0,0,0,0,1,0,0,0,0,0,0,0,0
a spur on the septum (T),0,0,1,0,0,0,0,0,0,0,0,0,0,0
"the nasopharynx is erythematous, edematous, and has the yellow scales in the middle of the nasopharynx  white mucus from the meatus moving toward the nasopharynx",0,0,0,1,0,0,0,0,0,0,0,0,0,0
white mucus from the meatus moving toward the nasopharynx,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The anterior pillars of the tonsils and uvula are edematous,0,0,0,0,1,0,0,0,0,0,0,0,0,0
superior septal deviation  enlargement of the uncinate process  The nasal mucosa secretes little mucus,0,0,1,0,0,0,0,0,0,0,0,0,0,0
edema of the arytenoid cartilages   edema of the interarytenoid area  posterior commissure hypertrophy,0,0,0,0,0,0,1,0,0,0,0,0,0,0
lingual tonsillar hypertrophy  edema of the interarytenoid area,0,0,0,0,0,1,0,0,0,0,0,0,0,0
edema of the interarytenoid area,0,0,0,0,0,1,0,0,0,0,0,0,0,0
edema of the interarrytenoid area,0,0,0,0,0,0,1,0,0,0,0,0,0,0
lingual tonsills hypertrophy,0,0,0,0,1,0,0,0,0,0,0,0,0,0
a thin scar in the anterioinferio quadrant,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"a thin scar in the anterioinferior quadrant, the cone of light is not visualized",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"The middle meatus has a soft, clear, white, jelly-like mass, thought to be a grade 2 polyp",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"The middle meatus has a soft, clear, white, jelly-like mass, thought to be a grade 1 polyp",0,0,1,0,0,0,0,0,0,0,0,0,0,0
edema of the arytenoid  omega-shaped epiglottis,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"The superior meatus has a soft, clear, white, jelly-like mass, thought to be a polyp",0,0,1,0,0,0,0,0,0,0,0,0,0,0
white purulent discharge in the inferior meatus,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ethmoidectomy has been performed  with neat edges, no fluid retension, normal mucosa",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ethmoidectomy has been performed  with neat edges, no fluid retension, normal mucosa   adhension between the middle turbinate and the septum",0,0,1,0,0,0,0,0,0,0,0,0,0,0
purulence in the arytenoid (P),0,0,0,0,0,0,1,0,0,0,0,0,0,0
the nasal mucosa is pale,0,0,1,0,0,0,0,0,0,0,0,0,0,0
erythema of the nasopharynx,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Adenoditis,0,0,0,1,0,0,0,0,0,0,0,0,0,0
hypertrophy of lingual tonsillar,0,0,0,0,1,0,0,0,0,0,0,0,0,0
edema of arytenoid cartilages,0,0,0,0,0,0,1,0,0,0,0,0,0,0
nasopharynx is edema and erythema  fullness in the Rosenmuller fossa,0,0,1,0,0,0,0,0,0,0,0,0,0,0
uvula is edema,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1/3 middle of vocal cord (P) is edematous,0,0,0,0,0,0,1,0,0,0,0,0,0,0
the right vocal cord is edematous,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Nasopharynx mucosa is edematous and errythematous like a mass,0,0,0,1,0,0,0,0,0,0,0,0,0,0
purulence from the meatus moving toward the nasopharynx,0,0,1,0,0,0,0,0,0,0,0,0,0,0
